Zeitstempel,How much do you like the syntax of P4 in general?,How strongly do you dislike verbose syntax constructs in P4?,How strongly do you dislike having to repeat code within one P4 project?,How strongly do you dislike having to repeat code between P4 projects?,What about the P4 syntax do you like the most?,What about the P4 syntax do you dislike the most?,How do you deal with annoyances such as those above?,How proficient do you consider yourself in programming P4?,How much would you like to see loop primitives in P4?,How much would you like to see array/list primitives in P4?,How much would you like to see object oriented concepts in P4?,How much would you like to see less verbose syntax constructs in P4?,How much would you like to see simpler recirculation/resubmit/clone handling?,How much would you like to see clearer separation between the dialects of P4?,Any comments?
19.07.2021 16:40:36,2,2,4,4,Python-style is preferred,Functions would be much better,I manually copy and paste code from one project to another,1,1,3,2,1,4,4,
19.07.2021 16:45:40,3,5,5,5,"Probably the parsers are the thing I like the most (they are quite intuitive). For the other parts, I think Python-like syntax would be better","Lack of loops (even simple bounded loops with 4-10 iterations require copying the code around, a mess to maintain)","I manually copy and paste code from one project to another, I use preprocessor macros",4,5,5,1,5,5,3,
19.07.2021 20:28:00,4,2,4,3,"I think the parser sublanguage of P4 is fairly nice, and at least a subset of it can be compiled to programmable header parsers in low cost per terabit/sec devices.",,"I use preprocessor macros, I use templating in a different programming language",5,5,5,2,4,3,3,"Note that while it is true that loops in P4 can be useful even if there are no arrays added to the language, they certainly have broader use if there are arrays."
19.07.2021 21:03:36,5,1,1,1,,,"I manually copy and paste code from one project to another, I use preprocessor macros",5,1,1,1,1,4,1,
19.07.2021 23:01:08,4,1,5,5,,,,3,5,4,2,4,2,4,
20.07.2021 07:15:50,5,4,5,5,,,"I manually copy and paste code from one project to another, I use preprocessor macros, I use templating in a different programming language",3,5,5,5,5,5,5,
20.07.2021 07:23:27,4,3,5,4,"C-style is great, and I can use C preprocessor macros myself.","some extern calls are quite unintuitive (e.g., parameter ordering, in BMV2 register read/write uses different ordering of index and value). The language spec might help encouraging a more consistent style of common extern calls...","I manually copy and paste code from one project to another, I use preprocessor macros, I use templating in a different programming language, I designed my own programming language/pre-processor",5,3,5,5,4,5,2,new user onboarding: compiling your first P4 program and run it in BMV2 is still quite a heavy-weight process. A web-based playground for testing simple P4 programs will be great.
20.07.2021 08:20:38,3,3,5,5,,,"I manually copy and paste code from one project to another, I use preprocessor macros",4,4,4,3,4,4,5,
20.07.2021 13:26:21,4,2,1,4,"short code, no long constructs","no good autocompletion, syntax highlighting, code analysis tools available",I manually copy and paste code from one project to another,4,1,1,1,1,4,1,"Two major comments:
- I think you are still looking into P4_14. The later version P4_16 is already adopted pretty well and supports some more features, such as separate deparsers.
- Many of your suggestions (loops, lists, object-oriented syntax) are taken from a functional programming language, where code is executed. P4 is a descriptive language, and is limited to simple instructions on purpose. It is what makes vendors able to map P4 into FPGAs and ASICs. Including more functionality would make compilers harder to implement, and may even limit the list of possible targets. Traditionally, SDN is plagued with some devices only implementing a subset of the intended standards, and including more features could repeat history.

In general, in this performance-sensitive topic, I'd prefer some clarity with respect to how my code is actually implemented, rather than convenience that probably cannot be compiled to my targets anyways."
20.07.2021 14:51:46,4,1,2,1,like it,"these are just details, I like the P4 syntax","I use preprocessor macros, I use templating in a different programming language",4,1,1,1,3,2,1,
20.07.2021 18:42:03,4,2,4,5,,"deparser constructions, currently we should review emit function to remove header validity evaluation.",I manually copy and paste code from one project to another,3,4,4,5,2,4,3,"I think P4 concept are very good. It is a good thing that a P4 program is finite at compilation (no loops depends on input data).
In my opinion we should keep this hard limit to allow high performance. One big modification should be to remove any redundancy into the langage.
One way would be to allow some extern function standardization with a sub language. As an example we could modify the packet.extract() into packet.read(hdr) followed by hdr.setValid(). This would allow better compiler optmization."
